epoch,mmsi,lat,lon
1490075506,259917000,15.6658133333,-61.525005
1490075516,219500000,15.8752883333,-61.0149283333
1490075526,219500000,15.8751266667,-61.0152233333
1490075546,219500000,15.8748616667,-61.0157733333
1490075607,259917000,15.6709166667,-61.524605
1490075615,219500000,15.874075,-61.0177516667
1490075625,228008600,15.880945,-61.31696
1490075646,219500000,15.8736766667,-61.0185983333
1490075654,219500000,15.8735616667,-61.0188133333
1490075672,477791600,16.229335,-61.5440483333
1490075696,219500000,15.8729733333,-61.01989
1490075727,259917000,15.6771983333,-61.5241066667
1490075756,219500000,15.8722183333,-61.0215366667
1490075766,228008600,15.8809516667,-61.31697
1490075775,219500000,15.871965,-61.0220833333
1490075776,228008600,15.88095,-61.31698
1490075787,259917000,15.68044,-61.523905
1490075805,228008600,15.8809516667,-61.3169833333
1490075808,259917000,15.6815566667,-61.52384
1490075824,219500000,15.8712583333,-61.0233766667
1490075836,228008600,15.88095,-61.3169733333
1490075845,219500000,15.8709666667,-61.0239316667
1490075848,538070904,16.22077,-61.5301416667
1490075855,219500000,15.870835,-61.0242033333
1490075868,259917000,15.6847466667,-61.523625
1490075896,228008600,15.8809516667,-61.3169566667
1490075925,228008600,15.8809516667,-61.316955
1490075926,219500000,15.869975,-61.02618
1490075946,228008600,15.8809566667,-61.316955
1490075955,219500000,15.8695983333,-61.026965
1490075956,228008600,15.8809516667,-61.3169566667
1490075975,219500000,15.8693283333,-61.0275116667
1490075977,228008600,15.880955,-61.3169516667
1490075977,259917000,15.69058,-61.5231833333
1490075986,219500000,15.8691783333,-61.027815
1490075997,259917000,15.6916566667,-61.5231283333
1490076007,259917000,15.6921383333,-61.523105
1490076016,219500000,15.8688216667,-61.02864
1490076030,538070904,16.2208133333,-61.5301566667
1490076032,477791600,16.229425,-61.54403
1490076035,219500000,15.86859,-61.0292166667
1490076046,219500000,15.8684616667,-61.02953
1490076056,219500000,15.8683433333,-61.02981
1490076057,259917000,15.694875,-61.5229666667
1490076097,259917000,15.6970233333,-61.5228416667
1490076127,259917000,15.69858,-61.52274
1490076136,219500000,15.8673583333,-61.0319833333
1490076138,259917000,15.6991733333,-61.5227
1490076157,259917000,15.7002483333,-61.5226333333
1490076187,228008600,15.8809583333,-61.3169466667
1490076197,259917000,15.702455,-61.522505
1490076212,477791600,16.22939,-61.544075
1490076215,219500000,15.8663283333,-61.0341433333
1490076225,219500000,15.8662133333,-61.0344233333
1490076237,259917000,15.704555,-61.5224083333
1490076256,219500000,15.865885,-61.0352816667
1490076258,259917000,15.7056816667,-61.52234
1490076306,219500000,15.8652883333,-61.0366683333
1490076318,259917000,15.708855,-61.5221566667
1490076335,219500000,15.86489,-61.03747
1490076347,259917000,15.7105183333,-61.5220616667
1490076367,259917000,15.7115383333,-61.5220066667
1490076375,219500000,15.86437,-61.0385383333
1490076378,259917000,15.71213,-61.5219666667
1490076397,259917000,15.7131516667,-61.5219016667
1490076407,259917000,15.7137466667,-61.521865
1490076414,219500000,15.8639033333,-61.0396033333
1490076438,259917000,15.7153616667,-61.52177
1490076448,259917000,15.7158483333,-61.5217366667
1490076455,219500000,15.8634366667,-61.0407416667
1490076457,259917000,15.7163333333,-61.5217033333
1490076466,228008600,15.88096,-61.3169566667
1490076486,219500000,15.8630733333,-61.0415633333
1490076505,219500000,15.8628416667,-61.0420816667
1490076515,219500000,15.86271,-61.0423833333
